Evento,Detalhes,Tempo
Caminho do mouse,"(612, 146)",2.6969082355499268
Caminho do mouse,"(612, 145)",2.708146095275879
Caminho do mouse,"(612, 144)",2.7196481227874756
Caminho do mouse,"(612, 143)",2.7336816787719727
Caminho do mouse,"(613, 143)",2.7410006523132324
Caminho do mouse,"(613, 142)",2.7554636001586914
Caminho do mouse,"(613, 141)",2.820157289505005
Caminho do mouse,"(614, 141)",2.878326177597046
Caminho do mouse,"(614, 142)",3.0355911254882812
Caminho do mouse,"(614, 143)",3.0427095890045166
Caminho do mouse,"(613, 148)",3.0511059761047363
Caminho do mouse,"(610, 157)",3.057701587677002
Caminho do mouse,"(608, 167)",3.065007448196411
Caminho do mouse,"(605, 174)",3.0713651180267334
Caminho do mouse,"(601, 189)",3.0816493034362793
Caminho do mouse,"(594, 208)",3.0852982997894287
Caminho do mouse,"(591, 224)",3.0951130390167236
Caminho do mouse,"(587, 242)",3.1002631187438965
Caminho do mouse,"(585, 257)",3.1079368591308594
Caminho do mouse,"(583, 270)",3.1145904064178467
Caminho do mouse,"(582, 278)",3.12222957611084
Caminho do mouse,"(582, 290)",3.130765676498413
Caminho do mouse,"(581, 299)",3.1378958225250244
Caminho do mouse,"(581, 308)",3.145237922668457
Caminho do mouse,"(581, 316)",3.1521267890930176
Caminho do mouse,"(581, 323)",3.1575233936309814
Caminho do mouse,"(581, 331)",3.1644446849823
Caminho do mouse,"(581, 339)",3.1728978157043457
Caminho do mouse,"(581, 348)",3.182058334350586
Caminho do mouse,"(580, 355)",3.1871488094329834
Caminho do mouse,"(578, 362)",3.1942617893218994
Caminho do mouse,"(577, 369)",3.200953722000122
Caminho do mouse,"(575, 377)",3.208615779876709
Caminho do mouse,"(573, 384)",3.219597816467285
Caminho do mouse,"(571, 390)",3.223926305770874
Caminho do mouse,"(570, 393)",3.2313337326049805
Caminho do mouse,"(568, 398)",3.2369461059570312
Caminho do mouse,"(566, 402)",3.243987798690796
Caminho do mouse,"(564, 407)",3.251080274581909
Caminho do mouse,"(563, 412)",3.259824275970459
Caminho do mouse,"(561, 417)",3.268826723098755
Caminho do mouse,"(559, 420)",3.2740650177001953
Caminho do mouse,"(557, 425)",3.2804908752441406
Caminho do mouse,"(556, 427)",3.287370204925537
Caminho do mouse,"(555, 432)",3.2959389686584473
Caminho do mouse,"(554, 434)",3.301121950149536
Caminho do mouse,"(553, 435)",3.31038236618042
Caminho do mouse,"(552, 436)",3.317077875137329
Caminho do mouse,"(552, 437)",3.324136972427368
Caminho do mouse,"(552, 438)",3.331173896789551
Caminho do mouse,"(552, 439)",3.337806224822998
Caminho do mouse,"(551, 439)",3.3446836471557617
Caminho do mouse,"(550, 439)",3.353118419647217
Caminho do mouse,"(549, 439)",3.360163927078247
Caminho do mouse,"(548, 439)",3.3659660816192627
Caminho do mouse,"(546, 439)",3.3764798641204834
Caminho do mouse,"(544, 439)",3.381819725036621
Caminho do mouse,"(542, 439)",3.3899269104003906
Caminho do mouse,"(541, 439)",3.395578622817993
Caminho do mouse,"(540, 438)",3.409788131713867
Caminho do mouse,"(539, 438)",3.4171159267425537
Caminho do mouse,"(538, 437)",3.426844835281372
Caminho do mouse,"(538, 436)",3.4321765899658203
Caminho do mouse,"(537, 435)",3.4393327236175537
Caminho do mouse,"(537, 434)",3.4460556507110596
Caminho do mouse,"(537, 432)",3.4535651206970215
Caminho do mouse,"(537, 431)",3.461345911026001
Caminho do mouse,"(537, 430)",3.467660427093506
Caminho do mouse,"(537, 429)",3.4818339347839355
Caminho do mouse,"(537, 428)",3.4889116287231445
Caminho do mouse,"(537, 427)",3.4975664615631104
Caminho do mouse,"(537, 426)",3.5039024353027344
Caminho do mouse,"(537, 424)",3.512880325317383
Caminho do mouse,"(537, 423)",3.518155097961426
Caminho do mouse,"(537, 422)",3.5254926681518555
Caminho do mouse,"(537, 421)",3.5490269660949707
Caminho do mouse,"(537, 420)",3.5616722106933594
Caminho do mouse,"(537, 419)",3.5696704387664795
Caminho do mouse,"(537, 418)",3.57743501663208
Caminho do mouse,"(537, 417)",3.5854575634002686
Caminho do mouse,"(537, 416)",3.598041534423828
Caminho do mouse,"(537, 415)",3.6046302318573
Caminho do mouse,"(537, 414)",3.6129231452941895
Caminho do mouse,"(536, 414)",3.6218605041503906
Caminho do mouse,"(535, 414)",3.7200748920440674
Caminho do mouse,"(534, 414)",3.8866662979125977
Caminho do mouse,"(534, 417)",4.189274311065674
Caminho do mouse,"(535, 421)",4.195618629455566
Caminho do mouse,"(537, 426)",4.2021613121032715
Caminho do mouse,"(538, 433)",4.2112956047058105
Caminho do mouse,"(539, 438)",4.218127012252808
Caminho do mouse,"(540, 444)",4.2259650230407715
Caminho do mouse,"(542, 449)",4.234369993209839
Caminho do mouse,"(543, 452)",4.239359378814697
Caminho do mouse,"(543, 457)",4.249141454696655
Caminho do mouse,"(544, 461)",4.254115104675293
Caminho do mouse,"(545, 468)",4.263619422912598
Caminho do mouse,"(546, 476)",4.267247438430786
Caminho do mouse,"(547, 483)",4.277211904525757
Caminho do mouse,"(548, 490)",4.282349586486816
Caminho do mouse,"(549, 495)",4.291256666183472
Caminho do mouse,"(550, 498)",4.296739101409912
Caminho do mouse,"(553, 506)",4.305529594421387
Caminho do mouse,"(554, 511)",4.310927867889404
Caminho do mouse,"(557, 515)",4.319071054458618
Caminho do mouse,"(562, 519)",4.326550245285034
Caminho do mouse,"(569, 525)",4.333561182022095
Caminho do mouse,"(572, 527)",4.341173410415649
Caminho do mouse,"(576, 530)",4.348407983779907
Caminho do mouse,"(580, 532)",4.354515314102173
Caminho do mouse,"(583, 533)",4.3610711097717285
Caminho do mouse,"(586, 534)",4.368168592453003
Caminho do mouse,"(590, 534)",4.375396013259888
Caminho do mouse,"(596, 533)",4.382499694824219
Caminho do mouse,"(601, 532)",4.389507055282593
Caminho do mouse,"(607, 530)",4.397930145263672
Caminho do mouse,"(614, 527)",4.404998779296875
Caminho do mouse,"(621, 525)",4.411953926086426
Caminho do mouse,"(627, 522)",4.419328212738037
Caminho do mouse,"(631, 519)",4.426246643066406
Caminho do mouse,"(637, 516)",4.433375835418701
Caminho do mouse,"(643, 512)",4.440506219863892
Caminho do mouse,"(649, 510)",4.448849678039551
Caminho do mouse,"(655, 507)",4.4547483921051025
Caminho do mouse,"(663, 504)",4.4621500968933105
Caminho do mouse,"(667, 502)",4.472697496414185
Caminho do mouse,"(671, 500)",4.4765400886535645
Caminho do mouse,"(676, 498)",4.4863855838775635
Caminho do mouse,"(681, 496)",4.491526365280151
Caminho do mouse,"(686, 493)",4.500497579574585
Caminho do mouse,"(692, 491)",4.505931615829468
Caminho do mouse,"(696, 489)",4.51299524307251
Caminho do mouse,"(699, 488)",4.520927429199219
Caminho do mouse,"(706, 485)",4.528390884399414
Caminho do mouse,"(709, 483)",4.53497576713562
Caminho do mouse,"(714, 481)",4.541503429412842
Caminho do mouse,"(717, 479)",4.549821376800537
Caminho do mouse,"(721, 475)",4.555497169494629
Caminho do mouse,"(726, 470)",4.5644354820251465
Caminho do mouse,"(728, 468)",4.5706658363342285
Caminho do mouse,"(730, 466)",4.578032732009888
Caminho do mouse,"(732, 464)",4.583897352218628
Caminho do mouse,"(734, 461)",4.591081142425537
Caminho do mouse,"(736, 458)",4.598375082015991
Caminho do mouse,"(739, 455)",4.605551481246948
Caminho do mouse,"(742, 451)",4.613475799560547
Caminho do mouse,"(743, 450)",4.620588541030884
Caminho do mouse,"(744, 448)",4.629282712936401
Caminho do mouse,"(745, 446)",4.634600877761841
Caminho do mouse,"(746, 445)",4.64369535446167
Caminho do mouse,"(748, 443)",4.651984214782715
Caminho do mouse,"(749, 442)",4.657227277755737
Caminho do mouse,"(750, 438)",4.665912866592407
Caminho do mouse,"(751, 437)",4.671149253845215
Caminho do mouse,"(752, 435)",4.681565046310425
Caminho do mouse,"(753, 433)",4.687070608139038
Caminho do mouse,"(754, 431)",4.694004774093628
Caminho do mouse,"(755, 428)",4.700840473175049
Caminho do mouse,"(756, 426)",4.710066080093384
Caminho do mouse,"(756, 425)",4.713997840881348
Caminho do mouse,"(756, 424)",4.723233222961426
Caminho do mouse,"(756, 423)",4.773027181625366
Caminho do mouse,"(756, 422)",4.809053897857666
Caminho do mouse,"(756, 421)",4.836862325668335
Caminho do mouse,"(757, 419)",4.846419095993042
Caminho do mouse,"(757, 417)",4.852491617202759
Caminho do mouse,"(758, 415)",4.859417676925659
Caminho do mouse,"(758, 409)",4.866323709487915
Caminho do mouse,"(757, 403)",4.873626470565796
Caminho do mouse,"(755, 397)",4.880840539932251
Caminho do mouse,"(755, 394)",4.888412952423096
Caminho do mouse,"(753, 388)",4.893738508224487
Caminho do mouse,"(751, 384)",4.90153956413269
Caminho do mouse,"(748, 380)",4.908525466918945
Caminho do mouse,"(745, 373)",4.916860342025757
Caminho do mouse,"(743, 370)",4.924139022827148
Caminho do mouse,"(740, 362)",4.931222677230835
Caminho do mouse,"(738, 357)",4.938257694244385
Caminho do mouse,"(736, 351)",4.944913387298584
Caminho do mouse,"(734, 348)",4.952256917953491
Caminho do mouse,"(734, 344)",4.959554672241211
Caminho do mouse,"(733, 342)",4.966485977172852
Caminho do mouse,"(733, 341)",4.974149703979492
Caminho do mouse,"(733, 340)",4.9809465408325195
Caminho do mouse,"(733, 339)",4.987549304962158
Caminho do mouse,"(733, 338)",5.008972406387329
Caminho do mouse,"(732, 335)",5.025645732879639
Caminho do mouse,"(731, 330)",5.030880928039551
Caminho do mouse,"(731, 329)",5.0599939823150635
Caminho do mouse,"(731, 328)",5.0818932056427
Caminho do mouse,"(731, 327)",5.145932674407959
Caminho do mouse,"(732, 325)",5.152921676635742
Caminho do mouse,"(733, 324)",5.159745454788208
Caminho do mouse,"(734, 324)",5.166985750198364
Caminho do mouse,"(734, 322)",5.1741485595703125
Caminho do mouse,"(735, 320)",5.181387662887573
Caminho do mouse,"(735, 319)",5.189412832260132
Caminho do mouse,"(736, 318)",5.20355224609375
Caminho do mouse,"(737, 317)",5.210397720336914
Caminho do mouse,"(738, 317)",5.246402025222778
Caminho do mouse,"(738, 318)",5.4177985191345215
Caminho do mouse,"(738, 319)",5.556850910186768
Caminho do mouse,"(737, 320)",5.563873529434204
Caminho do mouse,"(734, 320)",5.5707080364227295
Caminho do mouse,"(722, 325)",5.590830326080322
Caminho do mouse,"(710, 327)",5.598766088485718
Caminho do mouse,"(698, 333)",5.604516267776489
Caminho do mouse,"(667, 346)",5.6117894649505615
Caminho do mouse,"(649, 355)",5.619199514389038
Caminho do mouse,"(629, 365)",5.625658988952637
Caminho do mouse,"(598, 382)",5.63437294960022
Caminho do mouse,"(586, 387)",5.640931129455566
Caminho do mouse,"(574, 390)",5.646920442581177
Caminho do mouse,"(560, 397)",5.654322385787964
Caminho do mouse,"(551, 401)",5.663360357284546
Caminho do mouse,"(543, 406)",5.668487548828125
Caminho do mouse,"(538, 409)",5.67702579498291
Caminho do mouse,"(533, 414)",5.6822240352630615
Caminho do mouse,"(527, 417)",5.691148042678833
Caminho do mouse,"(522, 422)",5.69629979133606
Caminho do mouse,"(518, 424)",5.705401420593262
Caminho do mouse,"(515, 427)",5.710978984832764
Caminho do mouse,"(513, 428)",5.719435930252075
Caminho do mouse,"(512, 429)",5.724607944488525
Caminho do mouse,"(511, 429)",5.733348608016968
Caminho do mouse,"(511, 430)",5.73879337310791
Caminho do mouse,"(510, 430)",5.7480597496032715
Caminho do mouse,"(509, 430)",5.752264738082886
Caminho do mouse,"(509, 431)",5.759795427322388
Caminho do mouse,"(508, 431)",5.7809131145477295
Caminho do mouse,"(507, 432)",5.789608001708984
Caminho do mouse,"(506, 434)",5.794982671737671
Caminho do mouse,"(504, 436)",5.800448656082153
Caminho do mouse,"(503, 437)",5.8082661628723145
Caminho do mouse,"(501, 439)",5.815073490142822
Caminho do mouse,"(499, 440)",5.822969198226929
Caminho do mouse,"(498, 441)",5.829066514968872
Caminho do mouse,"(497, 442)",5.836314916610718
Caminho do mouse,"(497, 443)",5.8438804149627686
Caminho do mouse,"(496, 443)",5.849282264709473
Caminho do mouse,"(496, 440)",5.89249849319458
Caminho do mouse,"(497, 436)",5.8995630741119385
Caminho do mouse,"(502, 429)",5.906548738479614
Caminho do mouse,"(511, 416)",5.913881301879883
Caminho do mouse,"(514, 410)",5.9194419384002686
Caminho do mouse,"(516, 409)",5.929641962051392
